row_id,rota_id,date,shift_id,staff_id
1,RT001,2024-02-12 07:04:19,SH001,ST001
2,RT001,2024-02-12 07:09:38,SH001,ST003
3,RT001,2024-02-12 07:14:29,SH002,ST001
4,RT002,2024-02-13 08:32:00,SH003,ST002
5,RT002,2024-02-13 08:38:00,SH003,ST004
6,RT002,2024-02-13 08:38:00,SH004,ST002
7,RT003,2024-02-14 09:14:00,SH005,ST001
8,RT003,2024-02-14 09:21:00,SH005,ST003
9,RT003,2024-02-14 09:28:00,SH006,ST003
10,RT004,2024-02-15 12:18:00,SH007,ST002
11,RT004,2024-02-15 12:24:00,SH007,ST004
12,RT004,2024-02-15 12:30:00,SH008,ST004
13,RT005,2024-02-16 10:38:00,SH009,ST001
14,RT005,2024-02-16 10:54:00,SH009,ST002
15,RT005,2024-02-16 10:54:00,SH010,ST002
16,RT006,2024-02-17 07:34:00,SH011,ST003
17,RT006,2024-02-17 07:39:00,SH011,ST004
18,RT006,2024-02-17 07:44:00,SH012,ST004